label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75520.0,75520.0,75550.0,75540.0
Left-Caudate,40172.0,40172.0,40205.0,40227.0
Left-Putamen,78720.0,78720.0,78624.0,78192.0
Left-Pallidum,27209.0,27209.0,27196.0,27222.0
Brain-Stem,360352.0,360352.0,359120.0,344448.0
Left-Hippocampus,64464.0,64464.0,65552.0,65331.0
Left-Amygdala,27144.0,27144.0,26856.0,26766.0
Left-Accumbens-area,18096.0,18096.0,17056.0,17472.0
Right-Thalamus-Proper,375928.0,375928.0,376075.0,375977.0
Right-Caudate,185900.0,185900.0,184300.0,186300.0
Right-Putamen,313242.0,313242.0,310947.0,311865.0
Right-Pallidum,103896.0,103896.0,103636.0,101868.0
Right-Hippocampus,217989.0,217989.0,218890.0,218042.0
Right-Amygdala,97200.0,97200.0,98874.0,96120.0
Right-Accumbens-area,26448.0,26448.0,26448.0,26042.0
