label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81130.0,81130.0,82080.0,81200.0
Left-Caudate,41668.0,41668.0,41668.0,41701.0
Left-Putamen,68616.0,68616.0,68700.0,69060.0
Left-Pallidum,22867.0,22867.0,23218.0,23036.0
Brain-Stem,351280.0,351280.0,350960.0,351856.0
Left-Hippocampus,58531.0,58531.0,59058.0,59942.0
Left-Amygdala,28566.0,28566.0,28566.0,26748.0
Left-Accumbens-area,14196.0,14196.0,14170.0,14170.0
Right-Thalamus-Proper,395136.0,395136.0,395675.0,395430.0
Right-Caudate,183200.0,183200.0,183900.0,184200.0
Right-Putamen,280041.0,280041.0,278256.0,273462.0
Right-Pallidum,96200.0,96200.0,95004.0,96512.0
Right-Hippocampus,190111.0,190111.0,191171.0,194139.0
Right-Amygdala,76032.0,76032.0,75276.0,70416.0
Right-Accumbens-area,29928.0,29928.0,29290.0,29116.0
