label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73320.0,73320.0,73330.0,73390.0
Left-Caudate,32208.0,32208.0,32186.0,32274.0
Left-Putamen,58380.0,58380.0,57540.0,57576.0
Left-Pallidum,20371.0,20371.0,20358.0,20969.0
Brain-Stem,335392.0,335392.0,334432.0,334224.0
Left-Hippocampus,55012.0,55012.0,55250.0,55352.0
Left-Amygdala,27396.0,27396.0,28278.0,28116.0
Left-Accumbens-area,11076.0,11076.0,11362.0,11440.0
Right-Thalamus-Proper,354172.0,354172.0,354025.0,354025.0
Right-Caudate,141900.0,141900.0,141900.0,143250.0
Right-Putamen,261120.0,261120.0,258570.0,258876.0
Right-Pallidum,83980.0,83980.0,84240.0,84292.0
Right-Hippocampus,188203.0,188203.0,186454.0,188521.0
Right-Amygdala,69066.0,69066.0,68634.0,67662.0
Right-Accumbens-area,21286.0,21286.0,20764.0,20706.0
