label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81520.0,81520.0,81520.0,81550.0
Left-Caudate,37213.0,37213.0,37213.0,37301.0
Left-Putamen,66348.0,66348.0,66348.0,66408.0
Left-Pallidum,24661.0,24661.0,24661.0,24869.0
Brain-Stem,336288.0,336288.0,336288.0,334560.0
Left-Hippocampus,58412.0,58412.0,58412.0,56525.0
Left-Amygdala,27270.0,27270.0,27270.0,27396.0
Left-Accumbens-area,15106.0,15106.0,15106.0,15106.0
Right-Thalamus-Proper,365638.0,365638.0,365638.0,364952.0
Right-Caudate,180050.0,180050.0,180050.0,180850.0
Right-Putamen,276318.0,276318.0,276318.0,276522.0
Right-Pallidum,96044.0,96044.0,96044.0,96044.0
Right-Hippocampus,202354.0,202354.0,202354.0,201771.0
Right-Amygdala,72198.0,72198.0,72198.0,80298.0
Right-Accumbens-area,24708.0,24708.0,24708.0,24128.0
