label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79530.0,79540.0,79620.0,79560.0
Left-Caudate,43208.0,43406.0,43527.0,43329.0
Left-Putamen,57120.0,57120.0,57672.0,58092.0
Left-Pallidum,21112.0,21112.0,21619.0,21580.0
Brain-Stem,321056.0,321056.0,321680.0,321840.0
Left-Hippocampus,67439.0,67439.0,67269.0,67609.0
Left-Amygdala,28008.0,28008.0,28080.0,27756.0
Left-Accumbens-area,13078.0,13078.0,12896.0,12402.0
Right-Thalamus-Proper,372988.0,372988.0,373184.0,373086.0
Right-Caudate,189500.0,189500.0,188200.0,187350.0
Right-Putamen,243678.0,243678.0,244647.0,247197.0
Right-Pallidum,85020.0,85020.0,85176.0,85176.0
Right-Hippocampus,205852.0,205852.0,208078.0,207124.0
Right-Amygdala,72144.0,72144.0,71226.0,72144.0
Right-Accumbens-area,26564.0,26564.0,27318.0,27376.0
