label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,77370.0,77370.0,77370.0,76770.0
Left-Caudate,39303.0,39303.0,39303.0,38896.0
Left-Putamen,50688.0,50688.0,50688.0,50424.0
Left-Pallidum,21177.0,21177.0,21177.0,21385.0
Brain-Stem,327696.0,327696.0,327696.0,322048.0
Left-Hippocampus,62696.0,62696.0,62696.0,62067.0
Left-Amygdala,30024.0,30024.0,30024.0,30006.0
Left-Accumbens-area,11518.0,11518.0,11518.0,11362.0
Right-Thalamus-Proper,360983.0,360983.0,360983.0,355103.0
Right-Caudate,169050.0,169050.0,169050.0,167850.0
Right-Putamen,213384.0,213384.0,213384.0,213537.0
Right-Pallidum,81952.0,81952.0,81952.0,79456.0
Right-Hippocampus,170872.0,170872.0,170925.0,172409.0
Right-Amygdala,64854.0,64854.0,64854.0,62586.0
Right-Accumbens-area,23374.0,23374.0,23374.0,22330.0
