label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,79360.0,79360.0,80680.0,79270.0
Left-Caudate,33451.0,33451.0,33275.0,34914.0
Left-Putamen,58908.0,58908.0,58968.0,59376.0
Left-Pallidum,23088.0,23088.0,22672.0,22932.0
Brain-Stem,336080.0,336080.0,338592.0,335536.0
Left-Hippocampus,62985.0,62985.0,63546.0,63104.0
Left-Amygdala,23940.0,23940.0,23616.0,23886.0
Left-Accumbens-area,9932.0,9932.0,10452.0,9516.0
Right-Thalamus-Proper,382347.0,382347.0,378672.0,378182.0
Right-Caudate,176350.0,176350.0,176850.0,177450.0
Right-Putamen,242454.0,242454.0,241944.0,242658.0
Right-Pallidum,89752.0,89752.0,92508.0,89180.0
Right-Hippocampus,193927.0,193927.0,195252.0,195040.0
Right-Amygdala,71496.0,71496.0,68364.0,70470.0
Right-Accumbens-area,31262.0,31262.0,31088.0,32364.0
