label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,92410.0,92410.0,92100.0,91710.0
Left-Caudate,43945.0,43945.0,43769.0,43967.0
Left-Putamen,67404.0,67404.0,67308.0,67344.0
Left-Pallidum,24882.0,24882.0,25103.0,25610.0
Brain-Stem,383952.0,383952.0,388368.0,382368.0
Left-Hippocampus,66929.0,66929.0,66453.0,66759.0
Left-Amygdala,34308.0,34308.0,33876.0,34128.0
Left-Accumbens-area,16822.0,16822.0,17056.0,16302.0
Right-Thalamus-Proper,447517.0,447517.0,446880.0,446782.0
Right-Caudate,182650.0,182650.0,183350.0,183650.0
Right-Putamen,286416.0,286416.0,281520.0,285090.0
Right-Pallidum,101972.0,101972.0,102336.0,102544.0
Right-Hippocampus,206700.0,206700.0,204474.0,207071.0
Right-Amygdala,89748.0,89748.0,95958.0,96606.0
Right-Accumbens-area,28420.0,28420.0,29754.0,28362.0
