label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75130.0,75130.0,75130.0,75090.0
Left-Caudate,34881.0,34881.0,34892.0,34969.0
Left-Putamen,48888.0,48888.0,48888.0,48864.0
Left-Pallidum,21346.0,21346.0,21346.0,21372.0
Brain-Stem,326016.0,326016.0,326016.0,325456.0
Left-Hippocampus,59653.0,59653.0,59653.0,59415.0
Left-Amygdala,28800.0,28800.0,28800.0,28152.0
Left-Accumbens-area,9074.0,9074.0,9074.0,9048.0
Right-Thalamus-Proper,371371.0,371371.0,371371.0,372400.0
Right-Caudate,169550.0,169550.0,169550.0,168200.0
Right-Putamen,179316.0,179316.0,179316.0,178449.0
Right-Pallidum,86112.0,86112.0,86112.0,86112.0
Right-Hippocampus,185553.0,185553.0,185553.0,185871.0
Right-Amygdala,87318.0,87318.0,87318.0,86292.0
Right-Accumbens-area,13398.0,13398.0,13398.0,15312.0
