label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75390.0,75390.0,75510.0,75410.0
Left-Caudate,31691.0,31691.0,31251.0,31658.0
Left-Putamen,55404.0,55404.0,54996.0,55296.0
Left-Pallidum,25181.0,25181.0,25363.0,25103.0
Brain-Stem,344272.0,344272.0,344112.0,348592.0
Left-Hippocampus,66657.0,66657.0,66198.0,65620.0
Left-Amygdala,30276.0,30276.0,30240.0,30474.0
Left-Accumbens-area,13000.0,13000.0,13130.0,12948.0
Right-Thalamus-Proper,368578.0,368578.0,364070.0,372988.0
Right-Caudate,147300.0,147300.0,146550.0,145450.0
Right-Putamen,236079.0,236079.0,235365.0,234294.0
Right-Pallidum,98956.0,98956.0,98540.0,98592.0
Right-Hippocampus,212265.0,212265.0,214544.0,217777.0
Right-Amygdala,86346.0,86346.0,88668.0,87750.0
Right-Accumbens-area,25752.0,25752.0,25926.0,25926.0
