label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,87380.0,87380.0,86880.0,87410.0
Left-Caudate,38401.0,38401.0,38401.0,38379.0
Left-Putamen,66492.0,66492.0,65688.0,66456.0
Left-Pallidum,25129.0,25129.0,24960.0,25129.0
Brain-Stem,398432.0,398432.0,397248.0,398464.0
Left-Hippocampus,70601.0,70601.0,70788.0,71026.0
Left-Amygdala,28152.0,28152.0,28314.0,27774.0
Left-Accumbens-area,18304.0,18304.0,17992.0,18018.0
Right-Thalamus-Proper,418754.0,418754.0,417088.0,418411.0
Right-Caudate,168550.0,168550.0,170350.0,167000.0
Right-Putamen,278409.0,278409.0,285906.0,276318.0
Right-Pallidum,100048.0,100048.0,100048.0,98384.0
Right-Hippocampus,218466.0,218466.0,216717.0,218837.0
Right-Amygdala,89262.0,89262.0,91260.0,89100.0
Right-Accumbens-area,31030.0,31030.0,28014.0,29638.0
