label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,86320.0,86320.0,86280.0,86470.0
Left-Caudate,38379.0,38379.0,38632.0,38621.0
Left-Putamen,65940.0,65940.0,65940.0,67776.0
Left-Pallidum,24830.0,24830.0,25194.0,25155.0
Brain-Stem,400368.0,400368.0,395328.0,399824.0
Left-Hippocampus,71111.0,71111.0,71213.0,71298.0
Left-Amygdala,25722.0,25722.0,26010.0,25830.0
Left-Accumbens-area,16692.0,16692.0,16796.0,16874.0
Right-Thalamus-Proper,416255.0,416255.0,416206.0,416402.0
Right-Caudate,172750.0,172750.0,173550.0,172400.0
Right-Putamen,285396.0,285396.0,284988.0,281877.0
Right-Pallidum,99788.0,99788.0,99164.0,99892.0
Right-Hippocampus,211947.0,211947.0,212583.0,213166.0
Right-Amygdala,82188.0,82188.0,84132.0,82026.0
Right-Accumbens-area,31088.0,31088.0,30566.0,31494.0
