label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,82180.0,82180.0,82030.0,81860.0
Left-Caudate,39589.0,39589.0,38918.0,39237.0
Left-Putamen,64620.0,64620.0,63516.0,64908.0
Left-Pallidum,25402.0,25402.0,25662.0,26208.0
Brain-Stem,363216.0,363216.0,358848.0,364064.0
Left-Hippocampus,59228.0,59228.0,56882.0,56219.0
Left-Amygdala,31464.0,31464.0,31626.0,32094.0
Left-Accumbens-area,16432.0,16432.0,17862.0,17576.0
Right-Thalamus-Proper,410963.0,410963.0,415177.0,414197.0
Right-Caudate,190300.0,190300.0,186950.0,201050.0
Right-Putamen,281826.0,281826.0,276981.0,280092.0
Right-Pallidum,102336.0,102336.0,102908.0,102908.0
Right-Hippocampus,191012.0,191012.0,183062.0,184970.0
Right-Amygdala,96174.0,96174.0,93042.0,89586.0
Right-Accumbens-area,26506.0,26506.0,29870.0,27550.0
