label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,71740.0,71740.0,71740.0,72750.0
Left-Caudate,38632.0,38632.0,38632.0,38676.0
Left-Putamen,54360.0,54360.0,54360.0,54444.0
Left-Pallidum,18304.0,18304.0,18304.0,18330.0
Brain-Stem,304176.0,304176.0,304160.0,303600.0
Left-Hippocampus,60384.0,60384.0,60384.0,60605.0
Left-Amygdala,22914.0,22914.0,22914.0,23004.0
Left-Accumbens-area,10166.0,10166.0,10166.0,10452.0
Right-Thalamus-Proper,365344.0,365344.0,365344.0,365491.0
Right-Caudate,182150.0,182150.0,182150.0,182150.0
Right-Putamen,217158.0,217158.0,217158.0,218943.0
Right-Pallidum,80496.0,80496.0,80496.0,80548.0
Right-Hippocampus,206488.0,206488.0,206488.0,208131.0
Right-Amygdala,72252.0,72252.0,72252.0,72306.0
Right-Accumbens-area,35206.0,35206.0,35206.0,36134.0
