label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81690.0,81690.0,81030.0,81000.0
Left-Caudate,37818.0,37818.0,37697.0,37763.0
Left-Putamen,63672.0,63672.0,63420.0,67332.0
Left-Pallidum,25688.0,25688.0,25558.0,25961.0
Brain-Stem,347184.0,347184.0,345904.0,346544.0
Left-Hippocampus,62849.0,62849.0,62152.0,63512.0
Left-Amygdala,25848.0,25848.0,26892.0,26136.0
Left-Accumbens-area,15886.0,15886.0,16016.0,15782.0
Right-Thalamus-Proper,374360.0,374360.0,373919.0,374556.0
Right-Caudate,177200.0,177200.0,177250.0,176550.0
Right-Putamen,267750.0,267750.0,262752.0,265812.0
Right-Pallidum,94224.0,94224.0,93964.0,93132.0
Right-Hippocampus,190588.0,190588.0,212477.0,206912.0
Right-Amygdala,75978.0,75978.0,76248.0,82458.0
Right-Accumbens-area,32364.0,32364.0,31842.0,33002.0
