label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,76140.0,76140.0,76560.0,75660.0
Left-Caudate,40161.0,40161.0,40249.0,40227.0
Left-Putamen,57324.0,57324.0,56544.0,57288.0
Left-Pallidum,22373.0,22373.0,22633.0,22321.0
Brain-Stem,320656.0,320656.0,314912.0,329248.0
Left-Hippocampus,71604.0,71604.0,72233.0,71689.0
Left-Amygdala,24606.0,24606.0,24984.0,25182.0
Left-Accumbens-area,14066.0,14066.0,14196.0,14248.0
Right-Thalamus-Proper,364364.0,364364.0,361963.0,361326.0
Right-Caudate,185900.0,185900.0,185100.0,187100.0
Right-Putamen,258570.0,258570.0,262089.0,256989.0
Right-Pallidum,87256.0,87256.0,87204.0,87152.0
Right-Hippocampus,214703.0,214703.0,218996.0,216770.0
Right-Amygdala,63882.0,63882.0,63666.0,62046.0
Right-Accumbens-area,26158.0,26158.0,25926.0,25810.0
