label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83750.0,83750.0,83750.0,83100.0
Left-Caudate,41404.0,41404.0,41404.0,40535.0
Left-Putamen,69648.0,69648.0,69648.0,69108.0
Left-Pallidum,22958.0,22958.0,22958.0,23387.0
Brain-Stem,338352.0,338352.0,338352.0,345760.0
Left-Hippocampus,74409.0,74409.0,74409.0,74851.0
Left-Amygdala,28530.0,28530.0,28530.0,28206.0
Left-Accumbens-area,9932.0,9932.0,9932.0,11492.0
Right-Thalamus-Proper,410865.0,410865.0,410865.0,406553.0
Right-Caudate,189950.0,189950.0,189900.0,190300.0
Right-Putamen,287130.0,287130.0,287130.0,267444.0
Right-Pallidum,88036.0,88036.0,88036.0,86268.0
Right-Hippocampus,247616.0,247616.0,247616.0,250054.0
Right-Amygdala,75978.0,75978.0,75978.0,78030.0
Right-Accumbens-area,33640.0,33640.0,33640.0,32074.0
