label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74780.0,74780.0,74660.0,74690.0
Left-Caudate,30822.0,30822.0,30910.0,30822.0
Left-Putamen,44556.0,44556.0,45456.0,44760.0
Left-Pallidum,18967.0,18967.0,18837.0,19266.0
Brain-Stem,340640.0,340640.0,340736.0,341216.0
Left-Hippocampus,66096.0,66096.0,65586.0,65671.0
Left-Amygdala,25956.0,25956.0,26388.0,26010.0
Left-Accumbens-area,11102.0,11102.0,10478.0,10842.0
Right-Thalamus-Proper,346822.0,346822.0,350007.0,352555.0
Right-Caudate,147200.0,147200.0,147600.0,147900.0
Right-Putamen,201603.0,201603.0,201348.0,196044.0
Right-Pallidum,81484.0,81484.0,81588.0,80860.0
Right-Hippocampus,201082.0,201082.0,199545.0,201506.0
Right-Amygdala,86670.0,86670.0,85428.0,86670.0
Right-Accumbens-area,24070.0,24070.0,24186.0,24128.0
