label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73270.0,73270.0,73180.0,73240.0
Left-Caudate,37598.0,37598.0,37378.0,37598.0
Left-Putamen,55956.0,55956.0,55644.0,55152.0
Left-Pallidum,22204.0,22204.0,22061.0,22204.0
Brain-Stem,315632.0,315632.0,318320.0,316976.0
Left-Hippocampus,65297.0,65297.0,64906.0,65110.0
Left-Amygdala,23238.0,23238.0,22950.0,23184.0
Left-Accumbens-area,10972.0,10972.0,11232.0,10816.0
Right-Thalamus-Proper,339913.0,339913.0,339864.0,339717.0
Right-Caudate,162900.0,162900.0,163800.0,162500.0
Right-Putamen,248982.0,248982.0,249441.0,247095.0
Right-Pallidum,91572.0,91572.0,92144.0,91468.0
Right-Hippocampus,166420.0,166420.0,161173.0,167162.0
Right-Amygdala,75438.0,75438.0,76410.0,75276.0
Right-Accumbens-area,19894.0,19894.0,20474.0,19836.0
