label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74880.0,74880.0,74880.0,74860.0
Left-Caudate,32857.0,32857.0,32857.0,32758.0
Left-Putamen,58200.0,58200.0,58200.0,58380.0
Left-Pallidum,22009.0,22009.0,22009.0,22022.0
Brain-Stem,318064.0,318064.0,318064.0,306400.0
Left-Hippocampus,73151.0,73151.0,73151.0,73338.0
Left-Amygdala,26550.0,26550.0,26550.0,25848.0
Left-Accumbens-area,12064.0,12064.0,12064.0,12506.0
Right-Thalamus-Proper,362306.0,362306.0,362306.0,362306.0
Right-Caudate,138750.0,138750.0,138750.0,138300.0
Right-Putamen,249951.0,249951.0,249951.0,243372.0
Right-Pallidum,85956.0,85956.0,85956.0,85956.0
Right-Hippocampus,211311.0,211311.0,211311.0,210092.0
Right-Amygdala,86076.0,86076.0,86076.0,86778.0
Right-Accumbens-area,24592.0,24592.0,24592.0,27202.0
