label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73080.0,73080.0,73030.0,73060.0
Left-Caudate,31097.0,31097.0,30976.0,30954.0
Left-Putamen,46812.0,46812.0,46164.0,46272.0
Left-Pallidum,18668.0,18668.0,18642.0,18746.0
Brain-Stem,341312.0,341312.0,340288.0,337712.0
Left-Hippocampus,66555.0,66555.0,67609.0,66691.0
Left-Amygdala,24030.0,24030.0,23472.0,23346.0
Left-Accumbens-area,9776.0,9776.0,9984.0,10062.0
Right-Thalamus-Proper,352065.0,352065.0,352114.0,351820.0
Right-Caudate,150150.0,150150.0,150900.0,149800.0
Right-Putamen,190230.0,190230.0,190740.0,191301.0
Right-Pallidum,80340.0,80340.0,80392.0,80340.0
Right-Hippocampus,196312.0,196312.0,195729.0,196365.0
Right-Amygdala,97740.0,97740.0,96552.0,100008.0
Right-Accumbens-area,20764.0,20764.0,20242.0,20126.0
