label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,83150.0,83150.0,82680.0,83120.0
Left-Caudate,41305.0,41305.0,41613.0,41877.0
Left-Putamen,71112.0,71112.0,70872.0,70068.0
Left-Pallidum,23608.0,23608.0,23595.0,23712.0
Brain-Stem,345632.0,345632.0,343648.0,343648.0
Left-Hippocampus,73984.0,73984.0,74511.0,73678.0
Left-Amygdala,29376.0,29376.0,29160.0,29430.0
Left-Accumbens-area,14846.0,14846.0,14430.0,14326.0
Right-Thalamus-Proper,403809.0,403809.0,404103.0,404250.0
Right-Caudate,185850.0,185850.0,184900.0,186350.0
Right-Putamen,284988.0,284988.0,285753.0,284886.0
Right-Pallidum,86580.0,86580.0,86996.0,86996.0
Right-Hippocampus,257845.0,255884.0,257156.0,257156.0
Right-Amygdala,79110.0,79002.0,78786.0,80028.0
Right-Accumbens-area,38396.0,38396.0,38628.0,39440.0
