label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74600.0,74600.0,74600.0,74610.0
Left-Caudate,33913.0,33913.0,33913.0,33528.0
Left-Putamen,61128.0,61128.0,61128.0,60948.0
Left-Pallidum,22607.0,22607.0,22607.0,22581.0
Brain-Stem,323744.0,323744.0,323744.0,322816.0
Left-Hippocampus,73270.0,73270.0,73270.0,73219.0
Left-Amygdala,26514.0,26514.0,26514.0,27360.0
Left-Accumbens-area,8554.0,8554.0,8554.0,7930.0
Right-Thalamus-Proper,359023.0,359023.0,359023.0,357847.0
Right-Caudate,132900.0,132900.0,132900.0,134600.0
Right-Putamen,249390.0,249390.0,249390.0,248217.0
Right-Pallidum,86632.0,86632.0,86632.0,86372.0
Right-Hippocampus,213378.0,213378.0,213378.0,212689.0
Right-Amygdala,79380.0,79380.0,79380.0,77436.0
Right-Accumbens-area,28072.0,28072.0,28072.0,17864.0
