label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74090.0,74090.0,74210.0,74150.0
Left-Caudate,30294.0,30294.0,30195.0,30261.0
Left-Putamen,47664.0,47664.0,47028.0,47688.0
Left-Pallidum,19500.0,19500.0,17706.0,19435.0
Brain-Stem,349808.0,349808.0,347760.0,346992.0
Left-Hippocampus,66589.0,66589.0,65858.0,66198.0
Left-Amygdala,25074.0,25074.0,25254.0,25326.0
Left-Accumbens-area,10842.0,10842.0,10946.0,10998.0
Right-Thalamus-Proper,348586.0,348586.0,348635.0,341824.0
Right-Caudate,149400.0,149400.0,149050.0,149950.0
Right-Putamen,193953.0,193953.0,193647.0,196911.0
Right-Pallidum,77792.0,77792.0,75036.0,75608.0
Right-Hippocampus,197902.0,197902.0,201347.0,201930.0
Right-Amygdala,87318.0,87318.0,82134.0,79434.0
Right-Accumbens-area,21344.0,21344.0,23026.0,22736.0
