label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80870.0,80870.0,80870.0,81000.0
Left-Caudate,41184.0,41184.0,41184.0,41217.0
Left-Putamen,67536.0,67536.0,67536.0,68424.0
Left-Pallidum,23738.0,23738.0,23738.0,23556.0
Brain-Stem,349216.0,349216.0,349216.0,345264.0
Left-Hippocampus,61251.0,61251.0,61251.0,61285.0
Left-Amygdala,27198.0,27198.0,27180.0,27072.0
Left-Accumbens-area,13546.0,13546.0,13546.0,13208.0
Right-Thalamus-Proper,393470.0,393225.0,393470.0,393617.0
Right-Caudate,183550.0,183550.0,183550.0,183400.0
Right-Putamen,280041.0,280041.0,280041.0,282183.0
Right-Pallidum,96252.0,96252.0,96252.0,96928.0
Right-Hippocampus,190323.0,195305.0,190323.0,190111.0
Right-Amygdala,69066.0,68580.0,69066.0,68796.0
Right-Accumbens-area,27666.0,27666.0,27666.0,27492.0
