label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,73230.0,73230.0,73320.0,73610.0
Left-Caudate,38324.0,38324.0,38203.0,38104.0
Left-Putamen,62124.0,62124.0,62148.0,61848.0
Left-Pallidum,26481.0,26481.0,26390.0,26377.0
Brain-Stem,318432.0,318432.0,314960.0,304768.0
Left-Hippocampus,57324.0,57324.0,57511.0,57137.0
Left-Amygdala,26856.0,26856.0,27162.0,26496.0
Left-Accumbens-area,13052.0,13052.0,14014.0,13884.0
Right-Thalamus-Proper,351134.0,351134.0,350742.0,350987.0
Right-Caudate,173800.0,173800.0,175000.0,173900.0
Right-Putamen,255816.0,255816.0,254541.0,253572.0
Right-Pallidum,94848.0,94848.0,94744.0,95576.0
Right-Hippocampus,202195.0,202195.0,202831.0,202354.0
Right-Amygdala,76842.0,76842.0,76842.0,78678.0
Right-Accumbens-area,24650.0,24650.0,24708.0,24766.0
