label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,81730.0,81730.0,81830.0,81870.0
Left-Caudate,39776.0,39776.0,39501.0,39633.0
Left-Putamen,66372.0,66372.0,66216.0,66012.0
Left-Pallidum,25181.0,25181.0,25298.0,25285.0
Brain-Stem,373344.0,373344.0,372192.0,372608.0
Left-Hippocampus,63512.0,63512.0,63036.0,64379.0
Left-Amygdala,31284.0,31284.0,30852.0,31392.0
Left-Accumbens-area,17706.0,17706.0,18018.0,16744.0
Right-Thalamus-Proper,413952.0,413952.0,413658.0,412727.0
Right-Caudate,195100.0,195100.0,194550.0,195650.0
Right-Putamen,277338.0,277338.0,281010.0,273309.0
Right-Pallidum,93548.0,93548.0,98124.0,98488.0
Right-Hippocampus,209456.0,209456.0,208873.0,208290.0
Right-Amygdala,73386.0,73386.0,73710.0,72900.0
Right-Accumbens-area,32190.0,32190.0,32190.0,30682.0
