label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,74710.0,74710.0,74710.0,74800.0
Left-Caudate,33231.0,33231.0,33242.0,33341.0
Left-Putamen,60036.0,60036.0,60036.0,59400.0
Left-Pallidum,22555.0,22555.0,22555.0,22503.0
Brain-Stem,308496.0,308496.0,308496.0,308992.0
Left-Hippocampus,68969.0,68969.0,68969.0,68408.0
Left-Amygdala,28242.0,28242.0,28242.0,28152.0
Left-Accumbens-area,12688.0,12688.0,12688.0,12168.0
Right-Thalamus-Proper,355495.0,355495.0,355495.0,355642.0
Right-Caudate,129850.0,129850.0,129800.0,129950.0
Right-Putamen,250359.0,250359.0,250359.0,253980.0
Right-Pallidum,88920.0,88920.0,88920.0,89076.0
Right-Hippocampus,219950.0,219950.0,219950.0,219102.0
Right-Amygdala,79488.0,79488.0,79488.0,78624.0
Right-Accumbens-area,22910.0,22910.0,22910.0,22968.0
