label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,80010.0,80010.0,80010.0,78690.0
Left-Caudate,42625.0,42625.0,42625.0,43120.0
Left-Putamen,56916.0,56916.0,56916.0,56484.0
Left-Pallidum,21411.0,21411.0,21411.0,21437.0
Brain-Stem,310480.0,310480.0,310480.0,302688.0
Left-Hippocampus,68153.0,68153.0,68153.0,67660.0
Left-Amygdala,28278.0,28278.0,28278.0,27702.0
Left-Accumbens-area,10894.0,10894.0,10894.0,10790.0
Right-Thalamus-Proper,375144.0,375144.0,375144.0,375928.0
Right-Caudate,191150.0,191150.0,191150.0,190250.0
Right-Putamen,242913.0,242913.0,242913.0,241638.0
Right-Pallidum,81068.0,81068.0,81068.0,81536.0
Right-Hippocampus,207707.0,207707.0,207707.0,206329.0
Right-Amygdala,77058.0,77058.0,77058.0,78678.0
Right-Accumbens-area,25172.0,25172.0,25172.0,25462.0
