label,neurodesk1, neurodesk2, local1, local2
Left-Thalamus-Proper,75740.0,75740.0,75590.0,75350.0
Left-Caudate,31900.0,31900.0,31812.0,31724.0
Left-Putamen,58044.0,58044.0,58044.0,57996.0
Left-Pallidum,20163.0,20163.0,20189.0,20176.0
Brain-Stem,339680.0,339680.0,339664.0,336160.0
Left-Hippocampus,56678.0,56678.0,56644.0,56559.0
Left-Amygdala,27324.0,27324.0,26856.0,27090.0
Left-Accumbens-area,12870.0,12870.0,12844.0,12870.0
Right-Thalamus-Proper,353927.0,353927.0,353927.0,353535.0
Right-Caudate,141900.0,141900.0,142700.0,142100.0
Right-Putamen,253470.0,253470.0,254337.0,254184.0
Right-Pallidum,83460.0,83460.0,83356.0,82836.0
Right-Hippocampus,189369.0,189369.0,188733.0,185871.0
Right-Amygdala,72144.0,72144.0,69552.0,69930.0
Right-Accumbens-area,20706.0,20706.0,19836.0,20822.0
